IP,Country,Time,Is Denied?,Deny Reason,OS,Browser,QueryString,Prelanding,Landing
87.116.177.56, RS, 2020-07-07 00:41:37, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
212.115.121.32, , 2020-07-07 00:44:11, 1, full_cloak, Android, Mozilla/5.0 (Linux; Android 7.0; iQ1452aN Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/77.0.3865.92 Mobile Safari/537.36 [FB_IAB/Orca-Android;FBAV/238.0.0.14.120;], an=vid2&cn=Amul1&px=669027640315747, ,  
93.86.148.52, RS, 2020-07-07 00:49:41, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.0; 5026D Build/NRD90M; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
109.245.175.49, RS, 2020-07-07 00:51:05, 0, OK, Android, Mozilla/5.0 (Linux; Android 7.0; Moto C Build/NRD90M.062; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/80.0.3987.162 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/266.0.0.64.124;], an=vid2&cn=Amul1&px=669027640315747, 0, 0 
212.200.181.113, RS, 2020-07-07 00:52:25, 0, OK, Android, Mozilla/5.0 (Linux; Android 9; SM-J330FN Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML  like Gecko) Version/4.0 Chrome/83.0.4103.106 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/277.0.0.41.126;], an=vid2&cn=Amul1&px=669027640315747, 1, 0 
173.252.95.8, US, 2020-07-07 00:52:26, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.95.8, US, 2020-07-07 00:52:26, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.2, IE, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
31.13.103.6, IE, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
173.252.95.15, US, 2020-07-07 00:52:27, 1, full_cloak, unknown, facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php), , ,  
